代码,名称,板块类型,板块名称,行业代码,行业名称
605116,,行业分类,申万行业,370101,医药生物
601702,,行业分类,申万行业,240301,未知行业
688127,,行业分类,申万行业,270303,未知行业
603822,,行业分类,申万行业,220309,未知行业
002761,,行业分类,申万行业,620101,化工
688181,,行业分类,申万行业,270301,未知行业
300848,,行业分类,申万行业,220313,未知行业
605003,,行业分类,申万行业,350206,医药生物
605366,,行业分类,申万行业,220309,未知行业
605318,,行业分类,申万行业,610303,化工
605199,,行业分类,申万行业,370201,医药生物
605188,,行业分类,申万行业,450302,机械设备
688377,,行业分类,申万行业,640203,化工
300851,,行业分类,申万行业,640501,化工
300852,,行业分类,申万行业,270202,未知行业
002996,,行业分类,申万行业,240301,未知行业
688519,,行业分类,申万行业,270202,未知行业
688055,,行业分类,申万行业,270301,未知行业
688569,,行业分类,申万行业,640501,化工
688586,,行业分类,申万行业,650201,化工
688596,,行业分类,申万行业,640209,化工
688077,,行业分类,申万行业,240202,未知行业
688513,,行业分类,申万行业,370102,医药生物
300865,,行业分类,申万行业,640203,化工
300871,,行业分类,申万行业,110801,未知行业
300875,,行业分类,申万行业,650301,化工
300861,,行业分类,申万行业,640103,化工
300876,,行业分类,申万行业,220404,未知行业
300877,,行业分类,申万行业,350106,医药生物
300878,,行业分类,申万行业,370201,医药生物
300870,,行业分类,申万行业,630306,化工
603728,,行业分类,申万行业,630101,化工
601366,,行业分类,申万行业,450303,机械设备
002824,,行业分类,申万行业,240301,未知行业
002015,,行业分类,申万行业,410104,机械设备
000628,,行业分类,申万行业,620101,化工
688505,,行业分类,申万行业,370102,医药生物
000576,,行业分类,申万行业,650301,化工
688558,,行业分类,申万行业,640101,化工
688360,,行业分类,申万行业,640106,化工
688312,,行业分类,申万行业,640209,化工
300835,,行业分类,申万行业,240202,未知行业
300836,,行业分类,申万行业,640209,化工
300837,,行业分类,申万行业,640203,化工
002793,,行业分类,申万行业,370102,医药生物
605001,,行业分类,申万行业,640501,化工
300833,,行业分类,申万行业,640209,化工
002985,,行业分类,申万行业,650201,化工
603439,,行业分类,申万行业,370201,医药生物
002983,,行业分类,申万行业,270302,未知行业
002988,,行业分类,申万行业,240301,未知行业
002989,,行业分类,申万行业,620201,化工
688566,,行业分类,申万行业,370102,医药生物
002768,,行业分类,申万行业,220503,未知行业
300831,,行业分类,申万行业,270102,未知行业
300813,,行业分类,申万行业,640209,化工
300818,,行业分类,申万行业,640103,化工
300819,,行业分类,申万行业,350106,医药生物
603095,,行业分类,申万行业,640206,化工
